unit,function,retail_size,gc13_fuzzy_percent,currently_source_linked
main/dlls/engine/11/11,dll_0B_detachSource,372,98.27957,False
main/dlls/engine/15/15,player_advanceMove,460,96.26087,True
main/dlls/engine/15/15,player_followCurve,316,96.64557,True
main/dlls/engine/15/15,player_update,1328,98.20783,True
main/dlls/engine/15/15,player_updateVel,412,98.252426,True
main/dlls/engine/2/2,objSeqExecCmd06,2176,92.693016,False
main/dlls/engine/20_Hcurves/Hcurves_romcurve,RomCurve_findLinkTowardNearestOfType,1612,99.602974,False
main/dlls/engine/20_Hcurves/Hcurves_romcurve,RomCurve_func13,1332,99.03904,False
main/dlls/engine/20_Hcurves/Hcurves_romcurve,curves_findNearObj,696,95.86207,False
main/dlls/engine/21/21,curves_setLocalPointCollisionEx,84,89.28571,False
main/dlls/engine/23/23,insertHighScore,504,94.10317,False
main/dlls/engine/25/25,dll_19_updateGravity,164,93.53658,True
main/dlls/engine/3/3,Checkpoint_findRouteForObject,2004,98.72256,False
main/dlls/engine/66/66,CameraModeNormal_update,1644,99.9635,False
main/dlls/objects/201_Baddie/Baddie,enemy_findNearbyEnemies,956,99.87447,True
main/dlls/objects/201_Baddie/Baddie,enemy_init,1932,98.76811,True
main/dlls/objects/209_TumbleWeedB/TumbleWeedB,tumbleweed_updateStateMachine,1936,99.04958,True
main/dlls/objects/226/226,staff_update,756,72.48677,True
main/dlls/objects/237/237,collectible_update,752,98.085106,True
main/dlls/objects/239/239,pushable_init,1552,96.829895,True
main/dlls/objects/239/239,pushable_push,2284,99.89492,True
main/dlls/objects/239/239,pushable_update,716,97.98883,True
main/dlls/objects/280_Duster/Duster,duster_update,1764,96.33787,True
main/dlls/objects/294/294,Trigger_hitDetect,1264,92.1519,True
main/dlls/objects/364/364,imSnowClaw_hitDetect,136,89.411766,True
main/dlls/objects/364/364,imSnowClaw_render,380,94.26316,True
main/dlls/objects/414/414,dll414_update,1056,97.27273,True
main/dlls/objects/424_SH_killermu/SH_killermu,EnemyMushroom_render,100,95.2,True
main/dlls/objects/429_SH_thorntai/SHthorntail,SHthorntail_updateHerdVariant,480,97.0,True
main/dlls/objects/429_SH_thorntai/SHthorntail,SHthorntail_updateSleepyVariant,644,97.76398,True
main/dlls/objects/429_SH_thorntai/SHthorntail,SHthorntail_updateState,920,98.434784,True
main/dlls/objects/429_SH_thorntai/SHthorntail,SHthorntail_updateTriggerVariant,544,97.35294,True
main/dlls/objects/430_SH_LevelCon/SH_LevelCon,SH_LevelControl_runBloopEvent,1264,98.955696,True
main/dlls/objects/430_SH_LevelCon/SH_LevelCon,SH_LevelControl_update,2452,98.384995,True
