source,compiler,profile,cmenu,size,unit,exact,mnemonics_equal
current,1.2.5n,configured,87.35099,1228,86.815025,25,False
current,1.2.5n,level0,51.83444,1360,68.15604,23,False
current,1.2.5n,level1,64.72517,1184,74.59509,24,False
current,1.2.5n,level2,75.132454,1100,83.23966,24,False
current,1.2.5n,level3,89.00662,1208,87.18003,25,False
current,1.2.5n,peephole,80.43709,1160,82.12209,33,False
current,1.2.5n,schedule,70.2351,1228,58.84577,22,False
current,1.2.5n,defaults,68.75497,1160,55.657925,25,False
current,1.2.5n,space,77.20861,1092,84.8695,25,False
current,1.2.5n,auto,87.35099,1228,86.71405,25,False
current,1.2.5n,nopropagation,77.539734,1360,86.10166,25,False
current,1.2.5n,nocse,78.59271,1292,84.95909,25,False
current,1.2.5n,nolifetimes,85.334435,1228,86.66617,25,False
current,1.2.5n,noloopinvariants,87.35099,1228,86.720116,25,False
current,1.2.5n,nostrength,87.35099,1228,86.88296,25,False
current,1.2.5n,nodeadstore,87.35099,1228,86.54594,25,False
current,1.3,configured,98.84106,1208,99.97473,116,True
current,1.3,level0,47.407284,1440,68.64388,28,False
current,1.3,level1,63.4404,1252,79.51827,34,False
current,1.3,level2,75.07947,1180,91.008835,42,False
current,1.3,level3,98.84106,1208,99.72874,107,True
current,1.3,peephole,93.486755,1180,96.15779,42,False
current,1.3,schedule,77.02649,1208,64.91046,29,False
current,1.3,defaults,75.39073,1180,61.42544,22,False
current,1.3,space,86.695366,1072,97.2344,80,False
current,1.3,auto,98.84106,1208,99.85237,115,True
current,1.3,nopropagation,97.48013,1224,98.070755,79,False
current,1.3,nocse,89.13908,1264,95.78577,67,False
current,1.3,nolifetimes,96.17219,1208,99.71905,103,False
current,1.3,noloopinvariants,98.84106,1208,99.16556,104,True
current,1.3,nostrength,98.84106,1208,99.176094,101,True
current,1.3,nodeadstore,98.84106,1208,99.02777,96,True
current,1.3.2,configured,98.84106,1208,99.82577,113,True
current,1.3.2,level0,47.407284,1440,68.66569,28,False
current,1.3.2,level1,63.4404,1252,79.42837,34,False
current,1.3.2,level2,75.07947,1180,90.863594,42,False
current,1.3.2,level3,98.84106,1208,99.57977,104,True
current,1.3.2,peephole,93.486755,1180,96.067085,42,False
current,1.3.2,schedule,77.02649,1208,64.78151,29,False
current,1.3.2,defaults,75.39073,1180,61.403416,22,False
current,1.3.2,space,86.695366,1072,97.08597,79,False
current,1.3.2,auto,98.84106,1208,86.71831,97,True
current,1.3.2,nopropagation,97.48013,1224,97.895195,78,False
current,1.3.2,nocse,89.13908,1264,95.64319,66,False
current,1.3.2,nolifetimes,96.17219,1208,99.571686,101,False
current,1.3.2,noloopinvariants,98.84106,1208,99.01873,102,True
current,1.3.2,nostrength,98.84106,1208,99.02235,99,True
current,1.3.2,nodeadstore,98.84106,1208,98.87881,94,True
current,2.0,configured,98.84106,1208,99.82577,113,True
current,2.0,level0,47.407284,1440,68.66569,28,False
current,2.0,level1,63.4404,1252,79.42837,34,False
current,2.0,level2,75.07947,1180,90.863594,42,False
current,2.0,level3,98.84106,1208,99.57977,104,True
current,2.0,peephole,93.486755,1180,96.067085,42,False
current,2.0,schedule,77.02649,1208,64.78151,29,False
current,2.0,defaults,75.39073,1180,61.403416,22,False
current,2.0,space,86.695366,1072,97.08597,79,False
current,2.0,auto,98.84106,1208,86.71831,97,True
