unit,function,bytes,gc13,gc125n,gc125n_functions
main/dolphin/MSL_C/PPCEABI/bare/H/math_float_helpers,fabsf,12,100.0,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_float_helpers,fastCastU16ToFloat,28,54.57143,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_float_helpers,fastCastFloatToU16,28,71.14286,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_float_helpers,exp2f,216,70.611115,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_float_helpers,expf,48,60.75,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_float_helpers,fastCastS16ToFloat,28,54.57143,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_float_helpers,fastCastFloatToS16,28,71.14286,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_float_helpers,fastFloorf,260,75.36923,100.0,100.0
main/main/acosf,asinf,176,45.863636,100.0,100.0
main/main/acosf,acosf_fast,176,45.863636,100.0,100.0
main/main/acosf,acosf,240,60.3,100.0,100.0
main/main/acosf,atanf_fast,180,29.288889,100.0,100.0
main/main/acosf,atanf,380,85.82105,92.13684,92.13684
main/main/acosf,atan2f_fast,240,63.183334,100.0,100.0
main/main/acosf,atan2f,272,63.882355,100.0,100.0
main/main/acosf,atan2fHighPrecision,480,79.53333,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_802927a4,powfCoreHighPrecision,552,86.71739,99.23913,99.23913
main/dolphin/MSL_C/PPCEABI/bare/H/math_802927a4,powfCoreFast,376,85.489365,98.88298,98.88298
main/dolphin/MSL_C/PPCEABI/bare/H/math_802927a4,powfBitEstimate,236,85.67796,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_802927a4,Vec_normalize,68,75.52941,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_802927a4,Vec_scale,40,100.0,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_802927a4,Vec_lengthSquared,40,100.0,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_802927a4,trigReduceQuadrant,120,56.8,100.0,100.0
main/main/math_80292d3c,trigReduceQuadrantHighPrecision,132,54.363636,100.0,100.0
main/main/reciprocal,fastReciprocal,52,84.46154,100.0,100.0
main/main/trig_float_helpers,angleToVec2Fast,244,54.754097,89.88525,100.0
main/main/trig_float_helpers,angleToVec2,260,57.53846,90.50769,100.0
main/main/trig_float_helpers,angleToVec2Precise,276,60.0,91.05797,100.0
main/main/math_8029312c,sqrtfHighPrecision,116,86.06896,100.0,100.0
main/main/math_8029312c,sqrtf,84,80.7619,100.0,100.0
main/main/math_8029312c,invSqrt,64,74.75,100.0,100.0
main/main/trig,fsin16Approx,264,80.13636,100.0,100.0
main/main/trig,fsin16,296,82.28378,100.0,100.0
main/main/trig,fsin16Precise,328,84.01219,100.0,100.0
main/main/trig,fsin16HighPrecision,416,83.54808,100.0,100.0
main/main/trig,fcos16Approx,264,80.13636,100.0,100.0
main/main/trig,fcos16,296,82.28378,100.0,100.0
main/main/trig,fcos16Precise,328,84.01219,100.0,100.0
main/main/trig,fcos16HighPrecision,416,83.54808,100.0,100.0
main/main/sincosf,mathSinCosf,320,54.6375,93.25,97.25
main/dolphin/MSL_C/PPCEABI/bare/H/math_80293da4,mathSinfFast,220,78.32727,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_80293da4,mathSinf,252,81.07937,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_80293da4,mathSinfPrecise,284,83.211266,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_80293da4,mathSinfHighPrecision,364,87.01099,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_80293da4,mathCosf,232,79.62069,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_80293da4,mathCosfPrecise,264,82.09091,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_80293da4,mathCosfHighPrecision,344,86.25581,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_8029454c,mathTanf,148,43.675674,100.0,100.0
main/dolphin/MSL_C/PPCEABI/bare/H/math_8029454c,log2fBitEstimate,96,77.875,100.0,100.0
