address,section,size_bytes,byte_class,subtype_reason,adjacent_owner,adjacency_confidence,referencing_units,top_referencing_unit,b_src_pinned,b_symtxt_only,b_pad,b_orphan
0x8030C6A0,.data,440,string-data,string / char table,boot_logo.c,high,0,,0,440,0,0
0x8031D2E4,.data,264,ptr-table,reloc-dense pointer/jump/vtable table,dll_80136a40.c,high,12,main/dll/dll_00C4_tricky.o,260,0,4,0
0x8031D46C,.data,1140,string-data,string / char table,skeetla.c,high,7,main/dll/weapone6.o,918,220,0,0
0x8031D930,.data,492,data-table,structured .data (relocs/pointers present),weapone6.c,high,2,main/dll/tricky_flameguard.o,0,420,0,72
0x80322518,.data,520,data-table,structured .data (relocs/pointers present),dll_0126_trigger.c,high,3,main/dll/dll_0126_trigger.o,274,240,0,0
0x803230F8,.data,48,data-table,opaque .data table (needs inspection),dll_0167_spiritdoorlock.c,high,2,auto_07_802C6300_data.o,48,0,0,0
0x80334EE8,.data,272,float-pool,numeric constant table,player.c,high,2,main/dll/player.o,272,0,0,0
0x80335840,.bss,256,bss,zero-init,,-,0,,0,0,256,0
0x803387A0,.bss,120,bss,zero-init,,-,1,main/voxmaps.o,120,0,0,0
0x803878D8,.bss,216,bss,zero-init,,-,5,main/shader.o,216,0,0,0
0x8039C2C0,.bss,32,bss,zero-init,,-,1,main/dll/dll_0018_boneparticleeffect.o,32,0,0,0
0x8039C320,.bss,48,bss,zero-init,,-,2,main/dll/dll_001A_effect1.o,48,0,0,0
0x8039C368,.bss,72,bss,zero-init,,-,3,main/dll/dll_0022_effect9.o,72,0,0,0
0x803A4218,.bss,16,bss,zero-init,,-,1,main/dll/dll_0011_screens.o,16,0,0,0
0x803A4448,.bss,24,bss,zero-init,,-,1,main/audio_decode_thread.o,24,0,0,0
0x803A87D0,.bss,32,bss,zero-init,,-,4,main/dll/dll_0037_optionsscreen.o,32,0,0,0
0x803A9364,.bss,244,bss,zero-init,,-,10,main/dll/dll_0000_gameui.o,244,0,0,0
0x803AC528,.bss,88,bss,zero-init,,-,2,main/dll/dll_00CA_icebaddie.o,88,0,0,0
0x803AC598,.bss,56,bss,zero-init,,-,1,main/dll/dll_00CE_dllce.o,56,0,0,0
0x803AC5E8,.bss,80,bss,zero-init,,-,4,main/dll/dll_00CB_dllcb.o,80,0,0,0
0x803AC680,.bss,56,bss,zero-init,,-,2,main/dll/dll_00D5_kaldachom.o,56,0,0,0
0x803AD048,.bss,728,bss,zero-init,,-,14,main/dll/WC/dll_028D_wclevelcont.o,728,0,0,0
0x803AD3B4,.bss,12,bss,zero-init,,-,0,,0,0,12,0
0x803ADEF0,.bss,16,bss,zero-init,,-,0,,0,0,16,0
0x803CAAD0,.bss,704,bss,zero-init,,-,3,main/audio/voice_manage.o,448,256,0,0
0x803D41E4,.bss,644,bss,zero-init,,-,1,main/audio/aram_queue.o,644,0,0,0
0x803D68EC,.bss,52,bss,zero-init,,-,4,dolphin/TRK_MINNOW_DOLPHIN/msgbuf.o,44,0,4,0
0x803DB170,.bss,80,bss,zero-init,,-,1,main/dll/DR/dll_0257_drearthwarrior.o,80,0,0,0
0x803DB1E0,.sdata,8,const-data,small const / rodata,audio.c,med,0,,0,0,8,0
0x803DB610,.sdata,16,const-data,small const / rodata,rcp_dolphin.c,high,4,main/sky.o,16,0,0,0
0x803DB648,.sdata,8,const-data,small const / rodata,tex_dolphin.c,high,1,main/shader.o,8,0,0,0
0x803DB798,.sdata,8,const-data,small const / rodata,expgfx.c,high,1,main/dll/dll_0018_boneparticleeffect.o,8,0,0,0
0x803DBE00,.sdata,8,const-data,small const / rodata,dll_013E_dimbossicesmash.c,high,2,auto_07_802C6300_data.o,8,0,0,0
0x803DBE10,.sdata,16,const-data,small const / rodata,dll_0145_cloudprisoncontrol.c,high,2,auto_07_802C6300_data.o,16,0,0,0
0x803DBE50,.sdata,8,const-data,small const / rodata,dll_014C_babycloudrunner.c,high,2,auto_07_802C6300_data.o,8,0,0,0
0x803DBE60,.sdata,24,const-data,small const / rodata,dll_0150_gcrobotlightbea.c,high,2,auto_07_802C6300_data.o,24,0,0,0
0x803DBEA0,.sdata,48,const-data,small const / rodata,dll_015B_cfforcefield.c,high,2,auto_07_802C6300_data.o,48,0,0,0
0x803DBEE0,.sdata,8,const-data,small const / rodata,dll_0167_spiritdoorlock.c,high,2,auto_07_802C6300_data.o,8,0,0,0
0x803DC0F8,.sdata,24,const-data,small const / rodata,dll_01F8_wmgalleon.c,high,2,auto_07_802C6300_data.o,24,0,0,0
0x803DC138,.sdata,16,const-data,small const / rodata,dll_0211_wmwallcrawler.c,high,2,auto_07_802C6300_data.o,16,0,0,0
0x803DC150,.sdata,16,const-data,small const / rodata,dll_0216_vfplevelcontrol.c,high,2,auto_07_802C6300_data.o,16,0,0,0
0x803DC2C0,.sdata,8,const-data,small const / rodata,dll_0262_drakormissile.c,high,2,auto_07_802C6300_data.o,8,0,0,0
0x803DC2D0,.sdata,32,const-data,small const / rodata,dll_0266_kytesmum.c,high,3,auto_07_802C6300_data.o,32,0,0,0
0x803DC308,.sdata,56,const-data,small const / rodata,dll_0271_drakorhoverpad.c,high,3,main/dll/dll_0272_hightop.o,54,0,0,0
0x803DC358,.sdata,40,const-data,small const / rodata,dll_0273_firepipe.c,high,2,auto_07_802C6300_data.o,40,0,0,0
0x803DC388,.sdata,16,const-data,small const / rodata,dll_0279_drenergydisc.c,high,2,auto_07_802C6300_data.o,16,0,0,0
0x803DC420,.sdata,8,const-data,small const / rodata,dll_02B5_timer.c,high,2,auto_07_8032BE50_data.o,8,0,0,0
0x803DC500,.sdata,48,const-data,small const / rodata,dll_02BD_androsshand.c,high,2,main/dll/dll_02BF_androssligh.o,48,0,0,0
0x803DC648,.sdata,24,const-data,small const / rodata,printf.c,high,1,dolphin/MSL_C/PPCEABI/bare/H/exponentialsf.o,24,0,0,0
0x803DC66C,.sdata,244,const-data,small const / rodata,player.c,high,6,main/dll/player.o,231,2,0,0
0x803DC76C,.sdata,50,const-data,small const / rodata,dll_0257_drearthwarrior.c,high,2,main/dll/DR/dll_0258_drcloudrunner.o,48,0,0,0
0x803DC7A0,.sbss,24,bss,zero-init,,-,5,main/model.o,17,0,4,0
0x803DC908,.sbss,72,bss,zero-init,,-,1,main/pad.o,67,0,0,0
0x803DC968,.sbss,200,bss,zero-init,,-,8,main/textrender.o,193,0,0,0
0x803DCBC8,.sbss,64,bss,zero-init,,-,4,main/objlib.o,64,0,0,0
0x803DCC70,.sbss,40,bss,zero-init,,-,3,main/pi_dolphin.o,37,0,0,0
0x803DCDC8,.sbss,272,bss,zero-init,,-,61,main/shader.o,248,0,0,0
0x803DD040,.sbss,32,bss,zero-init,,-,2,main/maketex.o,31,0,0,0
0x803DD410,.sbss,16,bss,zero-init,,-,1,main/dll/dll_0003_checkpoint.o,16,0,0,0
0x803DD478,.sbss,8,bss,zero-init,,-,2,main/dll/dll_0014_unk.o,8,0,0,0
0x803DD5F8,.sbss,24,bss,zero-init,,-,1,main/dll/dll_0033_nrareware.o,16,0,0,0
0x803DD658,.sbss,12,bss,zero-init,,-,4,main/dll/picmenu.o,12,0,0,0
