map,placement_index,canonical_object_id,object_name,unique_id,x,y,z,load_flags,bound,load_radius,unload_radius,camera_authored,classification,note,commands,raw_tail
animtest,0,0x0493,setuppoint,0x00000000,3332.575195,-329.000000,3390.395508,0x08,0,0,40,1,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,000000FF00000000
arwing,0,0x0493,setuppoint,0x000430BA,368.013672,200.000000,1504.828125,0x08,0,0,40,1,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,0000004000000000
arwingcity,2,0x0493,setuppoint,0x000430BA,368.013672,200.000000,1504.828125,0x08,0,0,40,1,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,0000004000000000
arwingcity,144,0x0491,curve,0x00049954,1172.985352,196.439560,8285.805664,0x00,0,0,40,0,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,00020002FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF000040FFFFFFFFFF
arwingcity,145,0x0491,curve,0x00049964,825.051758,52.696667,11614.046875,0x00,0,0,40,0,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,00020001FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8E0040FFFFFFFFFF
arwingcity,146,0x0491,curve,0x00049967,773.930664,-292.496979,10075.219727,0x00,0,0,40,0,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,00240001FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF000040FFFFFFFFFF
arwingcity,147,0x0491,curve,0x0004A0A8,-632.729492,-375.128906,2113.133789,0x00,0,0,40,0,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,00240000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF000040FFFFFFFFFF
arwingcity,148,0x0491,curve,0x0004A107,1140.808594,-355.185730,7682.430664,0x00,0,0,40,0,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,002800020004A10B0004A178FFFFFFFFFFFFFFFF0000000464FFFFFF
arwingcity,149,0x0491,curve,0x0004A10B,-162.875000,314.354919,8771.313477,0x00,0,0,40,0,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,012800010004A1070004A10CFFFFFFFFFFFFFFFF0000000500FFFFFF
arwingcity,150,0x0491,curve,0x0004A10C,-66.536133,265.853546,9446.639648,0x00,0,0,40,0,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,002800010004A10B0004A10EFFFFFFFFFFFFFFFF000000007FFFFFFF
arwingcity,151,0x0491,curve,0x0004A10E,999.715820,99.642586,11373.343750,0x00,0,0,40,0,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,022800010004A10C0004A178FFFFFFFFFFFFFFFF0000000464FFFFFF
arwingcity,152,0x0491,curve,0x0004A131,932.113281,95.791664,2812.661133,0x00,0,0,40,0,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,002800020004A13C0004A134FFFFFFFFFFFFFFFF000000047FFFFFFF
arwingcity,153,0x0491,curve,0x0004A133,476.057617,34.673370,5239.135742,0x00,0,0,40,0,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,002800010004A13C0004A134FFFFFFFFFFFFFFFF0000400066FFFFFF
arwingcity,154,0x0491,curve,0x0004A134,283.566406,46.117889,5698.048828,0x00,0,0,40,0,route_metadata,Structural/route metadata; not necessarily instantiated as a normal GameObject.,,022800010004A1330004A131FFFFFFFFFFFFFFFF000000047FFFFFFF
