## US10 -> KIOSK (.text), mapped on side A via GSAE01
TU                                                   sites    delta  functions touched
main/render.c                                            4     -4e0  getLActions, getEnvfxActImmediately
main/audio.c                                            17     -4f4  AudioAramReadAllocAsync, AudioAramWriteSync, sampleBufferSLoadedCallback, sfxTriggersLoadedCallback, audioSetSoundMode, audioReset, audioStopAll, MIDIWADLoadedCallback, Music_PlayTrackByIndex, musicInitMidiWad, Music_LoadChannelForTrigger, Music_ChannelLoadedCallback
main/audio_sfx.c                                        14     +470  Sfx_StopAllObjectSounds, Sfx_SetObjectSoundsPaused, Sfx_StopObjectChannel, Sfx_SetObjectChannelVolume, Sfx_UpdateObjectSounds, Sfx_InitObjectChannels, Sfx_ReadTriggerParams, Sfx_AllocObjectChannel, Sfx_UpdateObjectChannel3D, Sfx_GetListenerRelativeDistance
main/audio_stream.c                                      9     -334  AudioStream_CancelCallback, AudioStream_CancelPrepared, AudioStream_StartPrepared, AudioStream_Play, AudioStream_UpdateFadeTimer, AudioStream_PrepareCallback, AudioStream_PlayAddrCallback, Sfx_UpdateLoopedObjectSounds
main/camera.c                                            9     +1c8  Obj_BuildTransformMatricesForYaw, Camera_LoadModelViewMatrix[NEWFN], Camera_ProjectWorldSphere[NEWFN], Camera_ProjectWorldPoint[NEWFN], Camera_UpdateViewMatrices, Camera_ApplyFullViewport, Camera_GetAspectRatio, Camera_InitState
main/curves.c                                            4      -24  Curve_BuildSegmentLengthTable
main/voxmaps.c                                           9      +50  voxmaps_updateActiveMap, voxLoadVoxMapActual, voxmaps_resetLoadedMaps, voxmaps_initialise
main/modelEngine.c                                      14      +b4  Queue_Alloc, Resource_ResetRefCounts, gameTimerRun, gameTimerStop
main/pad.c                                              17      -88  doRumble, padGetAnalogInput, padGetCY, padGetTriggersPressed, padGetTriggers, getButtonsJustPressedIfNotBusy, getButtonsJustPressed, getButtonsHeld, padUpdate, initControllers
main/fileio.c                                            3     -18c  dvdCheckError, loadFileByPathAsync
main/gametext.c                                          8      +10  utf8GetNextChar, gameTextRenderStrs
main/gametext_measurebyid.c                              1      -6c  gameTextMeasureById
main/gametext_tail.c                                    11      -20  gameTextRenderById, gameTextWrapLines
main/textrender.c                                       10     -170  textRenderStr, translateToDinoLanguage, gameTextMeasureString
main/textrender_gettext.c                                3       +c  gameTextGet
main/textrender_run.c                                   28     -290  gameTextLoadDir, gameTextSetCharset, gameTextGetState, gameTextRun, gameTextInit, gameTextInitRendererState, loadGameTextSequence, gameTextBuildSystemFontAtlas, gameTextFinalizeLoad, gameTextLoadCancelCallback, gameTextSaveDir
main/subtitle.c                                          7     +1ec  subtitleUpdateAndDraw, subtitleStop, subtitleBuildLineTable
main/textrender_drawbox.c                                5      -94  gameTextLoadTaskText, setSubtitlesEnabled, gameTextDrawBox
main/modellight.c                                       17     -224  modelLightStruct_freeSlot, modelLightStruct_createPointLight, modelLightStruct_setupGlow, modelLightStruct_setSpecularTargetColor, modelLightStruct_setSpotAttenuation, modelLightStruct_setObjectLightMaskIndex, modelLightStruct_setDirection, modelLightStruct_setAffectsAabbLightSelection, objAllocLight, modelLightChannels_applyGXControls, modelLightStruct_selectBrightestAabbLights, modelLightStruct_selectObjectLights, ModelLightStruct_free
